"p.products_id";"products_quantity";"products_model";"products_price";"products_status";"products_ordered";"products_name";"products_description";"products_viewed";"m.manufacturers_name as marque";"p.gender as Gender";"p.gamme";"p.item_size";"p.type as Type";"products_image";"pd.products_id";"EAN";"frais_port"
"250241";"50";"134494";"47.71";"1";"0";"ENIGMA de Adem 134494";"Eau de Cologne Vaporisateur 50 ml";"58";"Adem";"Femmes";"ENIGMA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/134494.jpg";"http://www.parfumreduc.com/product_info.php?products_id=250241";"134494";"14"
"2502411";"50";"1344941";"47.71";"1";"0";"ENIGMA de Adem 1344941";"Eau de Cologne spray 50 ml";"58";"Adem";"Femmes";"ENIGMA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/134494.jpg";"http://www.parfumreduc.com/product_info.php?products_id=250241";"1344941";"14"
"269723";"50";"186388";"58.76";"1";"0";"ENIGMA de Adem 186388";"ESSENCE Soin hydratant 50 ml";"34";"Adem";"Femmes";"ENIGMA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/186388.jpg";"http://www.parfumreduc.com/product_info.php?products_id=269723";"186388";"14"
"347801";"50";"167846";"25.09";"1";"0";"ADIDAS FAIR PLAY de Adidas 167846";"Eau de Toilette Vaporisateur 100 ml";"0";"Adidas";"Hommes";"ADIDAS FAIR PLAY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/167846.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347801";"167846";"14"
"3478011";"50";"1678461";"25.09";"1";"0";"ADIDAS FAIR PLAY de Adidas 1678461";"Eau de Toilette spray 100 ml";"0";"Adidas";"Hommes";"ADIDAS FAIR PLAY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/167846.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347801";"1678461";"14"
"347802";"7";"207381";"25.63";"1";"0";"ADIDAS FAIR PLAY de Adidas 207381";"Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)";"0";"Adidas";"Hommes";"ADIDAS FAIR PLAY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/207381.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347802";"207381";"14"
"3478021";"7";"2073811";"25.63";"1";"0";"ADIDAS FAIR PLAY de Adidas 2073811";"Eau de Toilette spray 100 ml (DEVELOPED WITH ATHLETES)";"0";"Adidas";"Hommes";"ADIDAS FAIR PLAY";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/207381.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347802";"2073811";"14"
"347806";"50";"198206";"25.63";"1";"0";"ADIDAS FRESH ESCAPE de Adidas 198206";"Eau de Toilette Vaporisateur 50 ml";"0";"Adidas";"Femmes";"ADIDAS FRESH ESCAPE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/198206.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347806";"198206";"14"
"3478061";"50";"1982061";"25.63";"1";"0";"ADIDAS FRESH ESCAPE de Adidas 1982061";"Eau de Toilette spray 50 ml";"0";"Adidas";"Femmes";"ADIDAS FRESH ESCAPE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/198206.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347806";"1982061";"14"
"347807";"50";"186214";"25.09";"1";"0";"ADIDAS FRESH IMPACT de Adidas 186214";"Eau de Toilette Vaporisateur 100 ml";"0";"Adidas";"Hommes";"ADIDAS FRESH IMPACT";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/186214.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347807";"186214";"14"
"3478071";"50";"1862141";"25.09";"1";"0";"ADIDAS FRESH IMPACT de Adidas 1862141";"Eau de Toilette spray 100 ml";"0";"Adidas";"Hommes";"ADIDAS FRESH IMPACT";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/186214.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347807";"1862141";"14"
"347814";"38";"213841";"26.71";"1";"0";"ADIDAS INTENSE TOUCH de Adidas 213841";"Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES) ( Edition limitée )";"0";"Adidas";"Hommes";"ADIDAS INTENSE TOUCH";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/213841.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347814";"213841";"14"
"3478141";"38";"2138411";"26.71";"1";"0";"ADIDAS INTENSE TOUCH de Adidas 2138411";"Eau de Toilette spray 100 ml (DEVELOPED WITH ATHLETES) ( Edition limitée )";"0";"Adidas";"Hommes";"ADIDAS INTENSE TOUCH";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/213841.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347814";"2138411";"14"
"347808";"20";"207382";"25.63";"1";"0";"ADIDAS FRESH IMPACT de Adidas 207382";"Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)";"0";"Adidas";"Hommes";"ADIDAS FRESH IMPACT";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/207382.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347808";"207382";"14"
"3478081";"20";"2073821";"25.63";"1";"0";"ADIDAS FRESH IMPACT de Adidas 2073821";"Eau de Toilette spray 100 ml (DEVELOPED WITH ATHLETES)";"0";"Adidas";"Hommes";"ADIDAS FRESH IMPACT";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/207382.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347808";"2073821";"14"
"347809";"50";"142087";"24.82";"1";"0";"ADIDAS FRUITY RHYTHM de Adidas 142087";"Eau de Toilette Vaporisateur 50 ml";"0";"Adidas";"Femmes";"ADIDAS FRUITY RHYTHM";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/142087.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347809";"142087";"14"
"3478091";"50";"1420871";"24.82";"1";"0";"ADIDAS FRUITY RHYTHM de Adidas 1420871";"Eau de Toilette spray 50 ml";"0";"Adidas";"Femmes";"ADIDAS FRUITY RHYTHM";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/142087.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347809";"1420871";"14"
"347810";"33";"205652";"26.44";"1";"0";"ADIDAS HAPPY GAME de Adidas 205652";"Eau de Toilette Vaporisateur 50 ml";"0";"Adidas";"Femmes";"ADIDAS HAPPY GAME";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/205652.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347810";"205652";"14"
"3478101";"33";"2056521";"26.44";"1";"0";"ADIDAS HAPPY GAME de Adidas 2056521";"Eau de Toilette spray 50 ml";"0";"Adidas";"Femmes";"ADIDAS HAPPY GAME";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/205652.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347810";"2056521";"14"
"347812";"50";"127840";"24.82";"1";"0";"ADIDAS ICE DIVE de Adidas 127840";"Eau de Toilette Vaporisateur 100 ml";"0";"Adidas";"Hommes";"ADIDAS ICE DIVE";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/127840.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347812";"127840";"14"
